bookID,title,authors,average_rating,isbn,isbn13,language_code,# num_pages,ratings_count,text_reviews_count,publisher,publish_date
16898,True Harvest: Readings From Henry David Thoreau For Every Day Of The Year,Henry David Thoreau-Barry M. Andrews,4.75,1558964908,9781558964907,eng,304,8,2,Skinner House Books,2005
17830,Bulgakov's the Master and Margarita: The Text as a Cipher,Elena N. Mahlow,4.75,533017424,9780533017423,eng,202,4,0,Vantage Press,1975
20913,The John Deere Two-Cylinder Tractor Encyclopedia: The Complete Model-by-Model History,Don Macmillan-Wayne G. Broehl Jr.,4.75,076032963X,9780760329634,eng,256,4,0,Voyageur Press,"May 15, 2007"
31401,A Wife After God's Own Heart Growth and Study Guide,Elizabeth George,4.75,736911685,9780736911689,eng,160,8,1,Harvest House Publishers,"January 1, 2004"
24815,The Indispensable Calvin and Hobbes,Bill Watterson,4.74,751500283,9780751500288,eng,255,15641,291,Warner Books,1992
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,439827604,9780439827607,eng,3342,27410,820,Arthur A. Levine Books,"October 1, 2005"
6550,Early Color,Saul Leiter-Martin Harrison,4.73,3865211399,9783865211392,eng,156,114,7,Steidl/Howard Greenberg Gallery,"January 15, 2006"
24816,Homicidal Psycho Jungle Cat (Calvin and Hobbes #9),Bill Watterson,4.72,836217691,9780836217698,eng,176,14952,277,Andrews and McMeel,1994
26558,The Revenge of the Baby-Sat,Bill Watterson,4.72,590452185,9780590452182,eng,128,50,5,Scholastic,1991
955,The 5 Love Languages / The 5 Love Languages Journal,Gary Chapman,4.71,802415318,9780802415318,eng,0,20,4,Moody Publishers,"January 3, 2005"
24820,Calvin and Hobbes: Sunday Pages 1985-1995: An Exhibition Catalogue,Bill Watterson,4.71,740721356,9780740721359,eng,96,3537,82,Andrews McMeel Publishing,"September 15, 2001"
13358,The Everyday Life Bible: The Power of God's Word for Everyday Living,Anonymous-Joyce Meyer,4.7,446578274,9780446578271,en-US,2208,1715,56,FaithWords,"October 1, 2006"
17276,The Feynman Lectures on Physics Vols 3-4,Richard P. Feynman,4.7,738209252,9780738209258,en-US,0,20,0,Basic Books,"May 11, 2004"
20749,Study Bible: NIV,Anonymous,4.7,310929555,9780310929550,eng,2198,4092,192,Zondervan,"October 1, 2002"
24520,The Complete Aubrey/Maturin Novels (5 Volumes),Patrick O'Brian,4.7,039306011X,9780393060119,eng,6576,1287,82,W.W. Norton,2004
26555,Something Under the Bed Is Drooling,Bill Watterson,4.7,751504831,9780751504835,eng,127,137,2,Warner,1992
26805,The Sibley Field Guide to Birds of Western North America,David Allen Sibley,4.7,679451218,9780679451211,en-US,473,709,35,Alfred A. Knopf,2003
34545,Elliott Erwitt: Snaps,Murray Sayle-Charles Flowers-Elliott Erwitt,4.7,071484330X,9780714843308,en-GB,544,96,6,Phaidon,2003
44826,The Price of the Ticket: Collected Nonfiction  1948-1985,James Baldwin,4.7,312643063,9780312643065,eng,712,396,28,St. Martin's/Marek,1985
24818,The Days Are Just Packed,Bill Watterson,4.69,836217357,9780836217353,eng,176,20021,236,Simon and Schuster,1993
2688,Novels 1901–1902: The Sacred Fount / The Wings of the Dove,Henry James-Leo Bersani,4.68,193108288X,9781931082884,eng,713,25,3,Library of America,2006
35561,The Beatles' Story on Capitol Records  Part Two: The Albums,Bruce Spizer,4.68,966264924,9780966264920,eng,264,25,0,Example Product Brand,"Jan 01, 2010"
4812,The Quest for Longitude: The Proceedings of the Longitude Symposium  Harvard University  Cambridge  Massachusetts  November 4-6  1993,William Andrewes,4.67,964432900,9780964432901,eng,437,9,2,"Collection of Historical Scientific Instruments, Harvard University","November 1, 1996"
4964,Love You Until--,Lisa McCourt-Cyd Moore,4.67,809166585,9780809166589,eng,32,3,0,Paulist Press,1999
5416,The Shining / Salems Lot / Night Shift / Carrie,Stephen King,4.67,905712609,9780905712604,eng,991,1838,27,Octopus/Heinemann,1985
7271,Marine Conservation Biology: The Science of Maintaining the Sea's Biodiversity,Elliott A. Norse-Larry B. Crowder-Michael E. Soulé,4.67,1559636629,9781559636629,eng,496,14,2,Island Press,"May 9, 2005"
8048,Bill Buzz (Easy Peasy People),Roger Hargreaves-Gray Jolliffe,4.67,679801154,9780679801153,eng,32,2,0,Random House Books for Young Readers,"October 14, 1989"
12789,Falling Angels (Luc Actar #1),Melissa M. Garcia,4.67,595377106,9780595377107,eng,216,1,0,"iUniverse, Inc.","February 14, 2006"
24494,The Calvin and Hobbes Lazy Sunday Book,Bill Watterson,4.67,836218523,9780836218527,eng,128,19364,196,Andrews and McMeel,1989
30836,Restless Till We Rest in You: 60 Reflections from the Writings of St. Augustine (Saints Speak Today),Augustine of Hippo,4.67,1569550344,9781569550342,eng,158,6,1,Servant Publications,April 1998
32160,Cook's Illustrated 2003 (Cook's Illustrated Annuals),Cook's Illustrated Magazine,4.67,936184728,9780936184722,eng,212,27,0,Boston Common Press,"November 30, 2003"
47523,Harry Potter Boxed Set (Harry Potter  #1-4),J.K. Rowling-Mary GrandPré,4.67,439434866,9780439434867,eng,1820,534,6,Scholastic Paperbacks,"July 30, 2002"
5309,The Life and Times of Scrooge McDuck,Don Rosa,4.66,911903968,9780911903966,eng,266,2336,143,Gemstone Publishing,"June 22, 2005"
27204,The Gospel According to Luke: KJV,Anonymous-Thomas Cahill,4.66,802136184,9780802136183,eng,81,133,13,Grove Press,"October 29, 1999"
47631,The Abhorsen Trilogy (The Abhorsen Trilogy  #1-3),Garth Nix,4.66,739432176,9780739432174,eng,777,89,8,Science Fiction Book Club,2003
23753,The Absolute Sandman  Volume One,Neil Gaiman-Mike Dringenberg-Chris Bachalo-Michael Zulli-Kelly Jones-Charles Vess-Colleen Doran-Malcolm Jones III-Steve Parkhouse-Daniel Vozzo-Lee Loughridge-Steve Oliff-Todd Klein-Dave McKean-Sam Kieth,4.65,1401210821,9781401210823,eng,612,14849,493,Vertigo,"November 1, 2006"
24817,The Essential Calvin and Hobbes,Bill Watterson,4.64,751512745,9780751512748,en-GB,256,250,13,Warner Books,1995
39201,Getting a Grip on the Basics: Building a Firm Foundation for the Victorious Christian Life,Beth A. Jones,4.64,1577948262,9781577948261,eng,124,8,0,Harrison House,"April 30, 2006"
43070,The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson,4.64,836218051,9780836218053,eng,256,102955,619,Andrews and McMeel,1988
313,100 Years of Lynchings,Ralph Ginzburg,4.63,933121180,9780933121188,eng,270,81,4,Black Classic Press,"November 22, 1996"
3582,The New Annotated Sherlock Holmes: The Complete Short Stories,Arthur Conan Doyle-Leslie S. Klinger,4.63,393059162,9780393059168,eng,1878,1396,54,W. W. Norton & Company,"November 30, 2004"
11323,Herbert the Timid Dragon,Mercer Mayer,4.63,307114635,9780307114631,eng,48,21,4,Western Pub. Co.,1991
19333,The World of Peter Rabbit (Original Peter Rabbit  Books 1-23),Beatrix Potter,4.63,723257639,9780723257639,eng,1072,210,14,Warne,"May 4, 2006"
24813,The Calvin and Hobbes Tenth Anniversary Book,Bill Watterson,4.63,836204387,9780836204384,eng,208,48868,359,Simon and Schuster,1995
24819,The Calvin And Hobbes:  Tenth Anniversary Book,Bill Watterson,4.63,751515574,9780751515572,eng,208,298,12,Warner Books,1995
39661,The Shawshank Redemption: The Shooting Script,Frank Darabont-Stephen King,4.63,1557042462,9781557042460,eng,184,2289,24,Newmarket Press,"September 30, 2004"
46292,The Divan,Hafez,4.63,9646534783,9789646534780,eng,566,3035,89,Jhoon,2003
1421,The Oxford Shakespeare: The Complete Works,William Shakespeare-Stanley Wells-Gary Taylor,4.62,199267170,9780199267170,eng,1420,488,38,Clarendon Press,2006
1750,Dionysiac Poetics and Euripides' Bacchae,Charles Segal,4.62,069101597X,9780691015972,eng,440,12,0,Princeton University Press,"October 27, 1997"
13206,The Collected Autobiographies of Maya Angelou,Maya Angelou,4.62,679643257,9780679643258,eng,1184,961,53,Modern Library,2004
17280,The Feynman Lectures on Physics Vol 3,Richard P. Feynman-Robert B. Leighton-Matthew L. Sands,4.62,805390499,9780805390490,eng,384,686,16,Addison Wesley,"July 19, 2005"
23721,Nausicaä of the Valley of the Wind  Vol. 6 (Nausicaä of the Valley of the Wind  #6),Hayao Miyazaki-Matt Thorn-Kaori Inoue-Joe Yamazaki-Walden Wong-Izumi Evers,4.62,1591163544,9781591163541,eng,159,1688,30,VIZ Media LLC,"August 10, 2004"
23739,Nausicaä de la vallée du vent  tome 6,Hayao Miyazaki,4.62,2723433943,9782723433945,fre,160,23,2,Glénat,"November 13, 2001"
25741,Collected Stories III: One Night in Brazil to The Death of Methuselah,Isaac Bashevis Singer-Ilan Stavans,4.62,1931082634,9781931082631,eng,915,21,4,Library of America,"July 8, 2004"
35406,Lego Star Wars: Prima Official Game Guide,Michael Littlefield,4.62,761554912,9780761554912,eng,128,27,2,Prima Games,"September 12, 2006"
37525,Organizational Architecture: Designs for Changing Organizations,David A. Nadler-Robert B. Shaw-Marc S. Gerstein,4.62,1555424430,9781555424435,eng,304,2,0,Jossey-Bass,1992
47697,The Sandman: King of Dreams,Alisa Kwitney-Neil Gaiman,4.62,811835928,9780811835923,eng,180,12775,34,Chronicle Books,"September 1, 2003"
17334,The Complete C.S. Lewis Signature Classics,C.S. Lewis,4.61,61208493,9780061208492,eng,746,873,41,HarperOne,"February 6, 2007"
19445,A Guide to the Words of My Perfect Teacher,Ngawang Pelzang-Padmakara Translation Group-Patrul Rinpoche-Alak Zenkar,4.61,1590300734,9781590300732,eng,336,79,0,Shambhala,"June 22, 2004"
23722,Nausicaä of the Valley of the Wind  Vol. 5 (Nausicaä of the Valley of the Wind  #5),Hayao Miyazaki-Matt Thorn-Kaori Inoue-Joe Yamazaki-Walden Wong-Izumi Evers,4.61,1591164125,9781591164128,eng,151,1814,25,VIZ Media LLC,"June 30, 2004"
23724,Nausicaä of the Valley of the Wind  Vol. 7 (Nausicaä of the Valley of the Wind  #7),Hayao Miyazaki-Matt Thorn-Kaori Inoue-Joe Yamazaki-Walden Wong-Izumi Evers,4.61,1591163552,9781591163558,eng,223,1637,72,VIZ Media LLC,"September 7, 2004"
23728,Nausicaä de la vallée du vent  tome 5,Hayao Miyazaki,4.61,2723433935,9782723433938,fre,152,55,3,Glénat,"June 4, 2002"
23735,Nausicaä de la vallée du vent  tome 7,Hayao Miyazaki,4.61,2723433951,9782723433952,fre,223,24,4,Glénat,"March 19, 2002"
